PostalCode,NumStations,PLZ,GPLZ,Canton
6340,72,6340,6340,ZG
6340,72,6340,6340,ZG
6340,72,6340,6340,ZG
9015,50,9015,9000,SG
1215,37,1215,1215,GE
1215,37,1215,1217,GE
1215,37,1215,1217,GE
9000,36,9000,9000,SG
9000,36,9000,9000,SG
9000,36,9000,9000,SG
9000,36,9000,9000,SG
1219,35,1219,1219,GE
1219,35,1219,1219,GE
1219,35,1219,1219,GE
1219,35,1219,1219,GE
8953,33,8953,8953,ZH
8953,33,8953,8953,ZH
8953,33,8953,8953,ZH
8953,33,8953,8953,ZH
6010,29,6010,6010,LU
6010,29,6010,6010,OW
6010,29,6010,6010,LU
6010,29,6010,6010,LU
6010,29,6010,6010,LU
6010,29,6010,6010,LU
6010,29,6010,6010,LU
6010,29,6010,6010,LU
6010,29,6010,6010,LU
6010,29,6010,6010,LU
1920,27,1920,1920,VS
1920,27,1920,1920,VS
1920,27,1920,1920,VS
1920,27,1920,1920,VS
1920,27,1920,1920,VS
3600,27,3600,3600,BE
3600,27,3600,3600,BE
3600,27,3600,3600,BE
3600,27,3600,3600,BE
7304,27,7304,7304,GR
7304,27,7304,7304,GR
8952,26,8952,8952,ZH
8952,26,8952,8952,ZH
1470,26,1470,1470,FR
1470,26,1470,1470,FR
1470,26,1470,1470,FR
1470,26,1470,1470,FR
9500,25,9500,9500,SG
9500,25,9500,9500,SG
9500,25,9500,9500,SG
5000,25,5000,5000,AG
5000,25,5000,5000,AG
5000,25,5000,5000,AG
5000,25,5000,5000,AG
5000,25,5000,5000,AG
5000,25,5000,5000,AG
5033,24,5033,5033,AG
5033,24,5033,5033,AG
4653,24,4653,4653,SO
8610,23,8610,8610,ZH
8610,23,8610,8610,ZH
6370,22,6370,6370,NW
6370,22,6370,6370,NW
6370,22,6370,6370,NW
6370,22,6370,6370,NW
4900,22,4900,4900,BE
4900,22,4900,4900,BE
4900,22,4900,4900,BE
2504,22,2504,2500,BE
7500,20,7500,7500,GR
7500,20,7500,7500,GR
7500,20,7500,7500,GR
7500,20,7500,7500,GR
1290,20,1290,1290,VD
1290,20,1290,1290,GE
1290,20,1290,1290,GE
6467,20,6467,6467,UR
7504,19,7504,7504,GR
3800,19,3800,3800,BE
3800,19,3800,3800,BE
3800,19,3800,3800,BE
3800,19,3800,3800,BE
3800,19,3800,3800,BE
3800,19,3800,3800,BE
3800,19,3800,3800,BE
6300,19,6300,6300,ZG
6300,19,6300,6300,ZG
6300,19,6300,6300,ZG
4133,19,4133,4133,BL
4133,19,4133,4133,BL
4133,19,4133,4133,BL
4133,19,4133,4133,BL
4133,19,4133,4133,BL
4133,19,4133,4133,BL
4147,19,4147,4147,BL
4147,19,4147,4147,BL
4665,19,4665,4665,AG
4665,19,4665,4665,AG
4665,19,4665,4665,AG
4665,19,4665,4665,AG
4665,19,4665,4665,AG
8910,19,8910,8910,ZH
8910,19,8910,8910,ZH
8910,19,8910,8910,ZH
